,contraindication,indication,off-label use
AUPRC,0.17353030923193447,0.14312452248669585,0.22117793568051547
AUROC,0.8158266637390117,0.8871824043972123,0.8873197428700325
Recall@1%,0.1442572994794005,0.2849223759072558,0.15456349206349207
Recall@5%,0.40928207122311094,0.5413168329645133,0.5429138321995465
Recall@10%,0.5343380158664306,0.6739047923907079,0.6842120181405895
Recall@10,0.12342363851413968,0.15730286352697287,0.2973356009070295
Recall@50,0.3638682921049226,0.42425163727462817,0.6961167800453515
Recall@100,0.49345560906679264,0.556555487111618,0.8348639455782314
MRR@10,0.2796017822333612,0.18700536552649227,0.24056122448979594
MRR@50,0.2930604972004299,0.20068562134322857,0.25594715149293557
MRR@100,0.2944767086777556,0.2016480987939472,0.2573510469240777
AP@10,0.25732903687790903,0.18762799016320142,0.22800768455530362
AP@50,0.22027001349506367,0.15941360653374592,0.2256167956298538
AP@100,0.20998163015840487,0.1522439476797416,0.22481967579997303
Enrichment@1%,16.043267963893395,30.237536392036745,17.891487403042024
Enrichment@5%,8.175375292512566,11.17518400976621,11.493588107365179
Enrichment@10%,5.475724708796762,6.751623959908079,6.892073649172178
F1,0.12585946511812016,0.058395725607255505,0.10139900592326215
Accuracy,0.9117250767457044,0.9205058222740105,0.8975155279503106
Sensitivity,0.5382048812143247,0.6379730925660917,0.6836451247165533
Specificity,0.9168108974600359,0.9211821051336448,0.8987705010461507
# of Pos,18.50877192982456,6.253521126760563,3.4285714285714284
