,contraindication,indication,off-label use
AUPRC,0.18602819947559954,0.18774941636440856,0.2163748255366494
AUROC,0.7616352887575102,0.9141956987722126,0.873283166849179
Recall@1%,0.166718671808137,0.341695094499063,0.20168650793650794
Recall@5%,0.3481608031096581,0.6622126028894957,0.4879739858906525
Recall@10%,0.4336170127219138,0.7713720948241072,0.6643959435626103
Recall@10,0.14518002715425082,0.2517879564952461,0.3213293650793651
Recall@50,0.31583678451583713,0.5437350296553787,0.6952601410934744
Recall@100,0.4064479854756164,0.6936737454152315,0.7801146384479718
MRR@10,0.2574770258980785,0.22952140452140452,0.25
MRR@50,0.264582742454596,0.23942414097804285,0.26095088783891607
MRR@100,0.26518292712680286,0.24154622516405388,0.261485075873104
AP@10,0.26753305220723766,0.22316975499515182,0.25284360040312426
AP@50,0.23463807984625787,0.2178513404039719,0.23439504640778186
AP@100,0.22361244399202027,0.2100920547698735,0.22117557254039466
Enrichment@1%,18.417608705177507,34.47254474415513,24.664315198803592
Enrichment@5%,6.95544257236531,14.04504913440813,10.081767559280982
Enrichment@10%,4.408166727304641,8.008045913391953,6.735002965158731
F1,0.12490897361494879,0.07010682228371841,0.08800581734393574
Accuracy,0.9015293578363962,0.9281459795063349,0.9106855302507477
Sensitivity,0.45526611300259606,0.7120615710398992,0.6659391534391534
Specificity,0.9093538395696316,0.9289443090042123,0.9133216449414063
# of Pos,25.105263157894736,6.045454545454546,3.6666666666666665
