,contraindication,indication,off-label use
AUPRC,0.12824274348018552,0.18502580316331516,0.16529082658919245
AUROC,0.7792086681645638,0.8909286110988008,0.8132300918583701
Recall@1%,0.1385069801014673,0.3090396075355313,0.11566951566951567
Recall@5%,0.35927781244785933,0.575401429937133,0.35311355311355314
Recall@10%,0.4644611762605299,0.7479731644523876,0.508017908017908
Recall@10,0.13287232881211364,0.2554342146146891,0.22043142043142042
Recall@50,0.27860167492374427,0.4527754019283791,0.5105820105820106
Recall@100,0.4043283595548558,0.5999809681530349,0.7649572649572649
MRR@10,0.19609164420485178,0.24112554112554113,0.17930402930402933
MRR@50,0.2061997139881362,0.2475610979563549,0.1885190583439131
MRR@100,0.20863412582522706,0.24851113144025436,0.19163029815654584
AP@10,0.1628598049981698,0.2549714596837613,0.17254477004477003
AP@50,0.1475979443366716,0.22065084203838162,0.16451689164053343
AP@100,0.14491318422084032,0.20711130195046268,0.16588140688285788
Enrichment@1%,15.493465414073953,34.950746334125334,15.131198693654941
Enrichment@5%,7.135748184171267,11.905876596542111,6.90023467013779
Enrichment@10%,4.643985226851571,7.463809264531025,5.16957517321257
F1,0.07242790381279299,0.09846899381088961,0.07572651015401614
Accuracy,0.947340115627661,0.9601484024027055,0.9240855762594895
Sensitivity,0.35789867409683335,0.5212018814345406,0.47083842083842087
Specificity,0.9540727539492169,0.962227992057547,0.9271811805175503
# of Pos,13.377358490566039,8.212121212121213,3.3076923076923075
