,contraindication,indication,off-label use
AUPRC,0.18497909229160978,0.11934608819658371,0.17373596027113497
AUROC,0.7329484266714721,0.8437169312746892,0.8333309753162539
Recall@1%,0.14683559577677224,0.2782645135442514,0.076046142438876
Recall@5%,0.32594560823384355,0.5047590338089329,0.4106867853407645
Recall@10%,0.43148517664988256,0.6405725818200616,0.6207916266739796
Recall@10,0.13483315377433022,0.14498804538875104,0.21986272090078318
Recall@50,0.3070229928700517,0.4397573537014061,0.6207916266739796
Recall@100,0.4006570119687767,0.525707020633936,0.7459893048128342
MRR@10,0.2488809523809524,0.142578125,0.18451213818860873
MRR@50,0.25918394471026046,0.1579539464457011,0.1966952502157838
MRR@100,0.2614277385899701,0.1598302987796943,0.19865814773746804
AP@10,0.23940646258503398,0.13864242311507935,0.18596405228758167
AP@50,0.20904423508838157,0.12754497974184623,0.18116887743848958
AP@100,0.2049453885469842,0.12583834590822562,0.1790247611445251
Enrichment@1%,20.11413504306496,39.50550174473166,9.199351719871556
Enrichment@5%,6.492316940521171,10.494015879891947,9.032651323992322
Enrichment@10%,4.281232894768911,6.472601951907886,6.525077683181102
F1,0.09909092959468936,0.04719559049930433,0.10270194158001764
Accuracy,0.916294536817102,0.9419246252082176,0.9067714042138594
Sensitivity,0.3942583897819192,0.5526449785093938,0.5439505515630083
Specificity,0.9256523475665844,0.9434372381473248,0.9094672437301874
# of Pos,18.84,5.578125,4.088235294117647
