,contraindication,indication,off-label use
AUPRC,0.21533371494967465,0.10345132892388598,0.18663753932152538
AUROC,0.7672925208302878,0.865171747480413,0.8008860535400549
Recall@1%,0.1954481714508651,0.12915456866256544,0.12896825396825395
Recall@5%,0.3282270439136364,0.44496405945673345,0.4006991685563114
Recall@10%,0.41464166693298893,0.6506232184154077,0.5317460317460317
Recall@10,0.16939077949036724,0.08875900597098753,0.22160808767951629
Recall@50,0.3161659220909875,0.36446768127508167,0.5396825396825397
Recall@100,0.37706457816313005,0.46681955231181965,0.6517857142857143
MRR@10,0.3022321428571428,0.10554971988795518,0.22344104308390023
MRR@50,0.3144422336907261,0.11820665772898298,0.23707579145156416
MRR@100,0.3155610106732522,0.11969127753105825,0.2387268699525493
AP@10,0.28352516601878847,0.10989437441643324,0.19948043767771656
AP@50,0.27042453776260617,0.11448317386153166,0.18820865027766334
AP@100,0.2508692524777827,0.11095166772528789,0.18826350953131982
Enrichment@1%,27.37773033953942,19.900470512745912,16.271881095404208
Enrichment@5%,6.671489485556089,9.22345764359925,8.03120445422147
Enrichment@10%,4.254034852514218,6.576333026682171,5.187138558838277
F1,0.12272814940258257,0.07392993238675638,0.08444219620685074
Accuracy,0.9456085284470083,0.9487049678283308,0.9343389529724934
Sensitivity,0.30803802904224586,0.4379651846357763,0.41085600907029474
Specificity,0.9619990112101807,0.9508987786127382,0.9377073512055897
# of Pos,27.303571428571427,8.573529411764707,3.357142857142857
