,contraindication,indication,off-label use
AUPRC,0.18487159589224095,0.16912973004879597,0.2066714614496148
AUROC,0.7603261894918844,0.9119088364047542,0.869829813798875
Recall@1%,0.14824626053734055,0.33780818620039,0.150760582010582
Recall@5%,0.34291444787030195,0.6786732621133127,0.48643077601410933
Recall@10%,0.44306168504494897,0.7718695505847208,0.6389329805996473
Recall@10,0.1440045700696312,0.23769268110317926,0.3213293650793651
Recall@50,0.29884521980604367,0.5404566316401385,0.6389329805996473
Recall@100,0.40625690345945736,0.6843369564731794,0.7745590828924163
MRR@10,0.2673976608187134,0.2242183742183742,0.2523809523809524
MRR@50,0.2732111875522845,0.236002660668054,0.2618102524777312
MRR@100,0.27375838888895954,0.23799987192306282,0.26322998284483
AP@10,0.26435902918672344,0.2145341596234453,0.24961498488284203
AP@50,0.23302025238501317,0.20492057055062227,0.22129989270032385
AP@100,0.2233979879244092,0.19499348835947442,0.21305927775703332
Enrichment@1%,17.071992716018222,34.29583661929541,19.547356134476107
Enrichment@5%,6.857063649753596,14.392591849418551,10.050438332486298
Enrichment@10%,4.510073694969429,8.012411959191372,6.46063835873957
F1,0.12527973181453783,0.06752343341919045,0.08902966369383952
Accuracy,0.8988345765442903,0.9251257718775765,0.9110881067402806
Sensitivity,0.4576930905364707,0.7196772010239503,0.6011243386243387
Specificity,0.906488615114579,0.9258916501274121,0.9138485493244439
# of Pos,25.105263157894736,6.045454545454546,3.6666666666666665
