relation,this run - edge-level AUPRC,paper AUPRC (complex_disease),delta,this run - disease-centric AUPRC,this run - disease-centric AUROC
contraindication,0.7885138182666409,0.8,-0.011486181733359135,0.21711558354860694,0.8335631768889564
indication,0.8786027660341696,0.89,-0.011397233965830367,0.15605033586815187,0.8941540223233037
off-label use,0.8562529198658442,,,0.26150417202106224,0.8927536686333116
