split,seed,relation,disease_id,variant,auprc,auroc,n_pos,n_candidates,dd_degree_train,kg_degree,spearman_A_B,tag
cardiovascular,1,indication,5279.0,fuse_rankavg,0.01677028763083635,0.6352776219854179,15,1798,0.0,11.0,0.02527713344766715,varA
cardiovascular,1,indication,11057.0,p_A,0.03956421915790885,0.8336134453781513,13,1798,0.0,30.0,-0.1561656923790912,varA
cardiovascular,1,indication,11057.0,p_B,0.010225432512440069,0.5819004524886878,13,1798,0.0,30.0,-0.1561656923790912,varA
cardiovascular,1,indication,11057.0,fuse_rankavg,0.035710077210247756,0.8287438052143935,13,1798,0.0,30.0,-0.1561656923790912,varA
cardiovascular,1,indication,2679.0,p_A,0.01483100366475688,0.8417597765363128,8,1798,0.0,10.0,0.06030618923600542,varA
cardiovascular,1,indication,2679.0,p_B,0.005098920825735371,0.5444832402234637,8,1798,0.0,10.0,0.06030618923600542,varA
cardiovascular,1,indication,2679.0,fuse_rankavg,0.011640682574368226,0.7858938547486034,8,1798,0.0,10.0,0.06030618923600542,varA
cardiovascular,1,indication,5294.0,p_A,0.004608518422577541,0.5609592861126602,5,1798,0.0,9.0,-0.36978200099512964,varA
cardiovascular,1,indication,5294.0,p_B,0.0033111446730229085,0.5252649191299499,5,1798,0.0,9.0,-0.36978200099512964,varA
cardiovascular,1,indication,5294.0,fuse_rankavg,0.004555160761706031,0.6041829336307863,5,1798,0.0,9.0,-0.36978200099512964,varA
cardiovascular,1,indication,5386.0,p_A,0.004998898394677192,0.6518683770217513,5,1798,0.0,3.0,-0.07021510142913637,varA
cardiovascular,1,indication,5386.0,p_B,0.0030582867403651085,0.46134969325153374,5,1798,0.0,3.0,-0.07021510142913637,varA
cardiovascular,1,indication,5386.0,fuse_rankavg,0.0046389569889999285,0.5875627440044618,5,1798,0.0,3.0,-0.07021510142913637,varA
cardiovascular,1,indication,5295.0,p_A,0.005271415492189062,0.6447172619047619,6,1798,0.0,2.0,0.9374763479687213,varA
cardiovascular,1,indication,5295.0,p_B,0.003594478335172361,0.49135044642857145,6,1798,0.0,2.0,0.9374763479687213,varA
cardiovascular,1,indication,5295.0,fuse_rankavg,0.004205201129298536,0.5684523809523809,6,1798,0.0,2.0,0.9374763479687213,varA
cardiovascular,1,indication,9934.0,p_A,0.04837602479111913,0.9524605385329619,3,1798,0.0,4.0,0.38261292327456453,varA
cardiovascular,1,indication,9934.0,p_B,0.005720037253697425,0.8137418755803157,3,1798,0.0,4.0,0.38261292327456453,varA
cardiovascular,1,indication,9934.0,fuse_rankavg,0.01718505665874087,0.9390900649953575,3,1798,0.0,4.0,0.38261292327456453,varA
cardiovascular,1,indication,5385.0,p_A,0.016777935607682818,0.744661095636026,3,1798,0.0,30.0,0.008898752071523276,varA
cardiovascular,1,indication,5385.0,p_B,0.002013612769579349,0.42896935933147634,3,1798,0.0,30.0,0.008898752071523276,varA
cardiovascular,1,indication,5385.0,fuse_rankavg,0.0029794662024472595,0.6408542246982358,3,1798,0.0,30.0,0.008898752071523276,varA
cardiovascular,1,indication,11479.0,p_A,0.0032958835708196323,0.7527839643652561,2,1798,0.0,5.0,-0.15842829876538903,varA
cardiovascular,1,indication,11479.0,p_B,0.008178963893249607,0.8830734966592427,2,1798,0.0,5.0,-0.15842829876538903,varA
cardiovascular,1,indication,11479.0,fuse_rankavg,0.017690058479532166,0.9459910913140313,2,1798,0.0,5.0,-0.15842829876538903,varA
cardiovascular,1,indication,8364.0,p_A,0.003985249068884204,0.7536191536748329,2,1798,0.0,5.0,0.289589483577155,varA
cardiovascular,1,indication,8364.0,p_B,0.00498763800151771,0.8234966592427617,2,1798,0.0,5.0,0.289589483577155,varA
cardiovascular,1,indication,8364.0,fuse_rankavg,0.009264475743348983,0.8557906458797326,2,1798,0.0,5.0,0.289589483577155,varA
cardiovascular,1,indication,5267.0,p_A,0.00076103500761035,0.26933778519755147,1,1798,0.0,59.0,-0.15223995924238465,varA
cardiovascular,1,indication,5267.0,p_B,0.0007052186177715092,0.21146355036171394,1,1798,0.0,59.0,-0.15223995924238465,varA
cardiovascular,1,indication,5267.0,fuse_rankavg,0.0006064281382656155,0.08291597106288262,1,1798,0.0,59.0,-0.15223995924238465,varA
cardiovascular,1,indication,4995.0,p_A,0.0008733624454148472,0.36338341680578745,1,1798,0.0,4.0,0.15383926218857072,varA
cardiovascular,1,indication,4995.0,p_B,0.0012330456226880395,0.5492487479131887,1,1798,0.0,4.0,0.15383926218857072,varA
cardiovascular,1,indication,4995.0,fuse_rankavg,0.0009107468123861566,0.38981636060100167,1,1798,0.0,4.0,0.15383926218857072,varA
cardiovascular,1,indication,5264.0,p_A,0.02040965070941207,0.7626811594202898,4,1798,0.0,50.0,-0.0912775332588289,varA
cardiovascular,1,indication,5264.0,p_B,0.003965593279202034,0.5922519509476031,4,1798,0.0,50.0,-0.0912775332588289,varA
cardiovascular,1,indication,5264.0,fuse_rankavg,0.006956708144013245,0.8042084726867336,4,1798,0.0,50.0,-0.0912775332588289,varA
cardiovascular,1,indication,5299.0,p_A,0.01055617390515252,0.6806020066889632,4,1798,0.0,56.0,0.09973554818530629,varA
cardiovascular,1,indication,5299.0,p_B,0.0026584471351064048,0.43004459308807136,4,1798,0.0,56.0,0.09973554818530629,varA
cardiovascular,1,indication,5299.0,fuse_rankavg,0.003381974664069717,0.5796404682274248,4,1798,0.0,56.0,0.09973554818530629,varA
cardiovascular,1,indication,5010.0,p_A,0.16666666666666666,0.9972175848636617,1,1798,0.0,216.0,0.5264862441334636,varA
cardiovascular,1,indication,5010.0,p_B,0.25,0.998330550918197,1,1798,0.0,216.0,0.5264862441334636,varA
cardiovascular,1,indication,5010.0,fuse_rankavg,1.0,1.0,1,1798,0.0,216.0,0.5264862441334636,varA
cardiovascular,1,indication,465.0,p_A,0.0008658008658008658,0.3578185865331107,1,1798,0.0,11.0,0.0720928708017855,varA
cardiovascular,1,indication,465.0,p_B,0.0007587253414264037,0.26711185308848084,1,1798,0.0,11.0,0.0720928708017855,varA
cardiovascular,1,indication,465.0,fuse_rankavg,0.0006988120195667365,0.20422927100723431,1,1798,0.0,11.0,0.0720928708017855,varA
cardiovascular,1,indication,745.0,p_A,0.0030670802145110814,0.4035528273809524,6,1798,0.0,6.0,0.2894158312430415,varA
cardiovascular,1,indication,745.0,p_B,0.00472917326500195,0.5864955357142857,6,1798,0.0,6.0,0.2894158312430415,varA
cardiovascular,1,indication,745.0,fuse_rankavg,0.0036368446762583503,0.49116443452380953,6,1798,0.0,6.0,0.2894158312430415,varA
cardiovascular,1,indication,19514.0,p_A,0.07692307692307693,0.993322203672788,1,1798,0.0,4.0,0.7635482048610986,varA
cardiovascular,1,indication,19514.0,p_B,0.002288329519450801,0.7573734001112965,1,1798,0.0,4.0,0.7635482048610986,varA
cardiovascular,1,indication,19514.0,fuse_rankavg,0.005813953488372093,0.9051196438508625,1,1798,0.0,4.0,0.7635482048610986,varA
cardiovascular,1,indication,8542.0,p_A,0.004484304932735426,0.8764607679465776,1,1798,0.0,16.0,0.5597004354578884,varA
cardiovascular,1,indication,8542.0,p_B,0.004761904761904762,0.8836950473010574,1,1798,0.0,16.0,0.5597004354578884,varA
cardiovascular,1,indication,8542.0,fuse_rankavg,0.008403361344537815,0.934613244296049,1,1798,0.0,16.0,0.5597004354578884,varA
cardiovascular,1,indication,11514.0,p_A,0.003067484662576687,0.8191430161380078,1,1798,0.0,2.0,0.5342251731076192,varA
cardiovascular,1,indication,11514.0,p_B,0.015384615384615385,0.9643850862548692,1,1798,0.0,2.0,0.5342251731076192,varA
cardiovascular,1,indication,11514.0,fuse_rankavg,0.009523809523809525,0.9426822481914301,1,1798,0.0,2.0,0.5342251731076192,varA
cardiovascular,1,indication,8889.0,p_A,0.015151515151515152,0.9638286032276016,1,1798,0.0,2.0,0.5789465288264259,varA
cardiovascular,1,indication,8889.0,p_B,0.000731528895391368,0.23984418475236502,1,1798,0.0,2.0,0.5789465288264259,varA
cardiovascular,1,indication,8889.0,fuse_rankavg,0.0013908205841446453,0.6007234279354479,1,1798,0.0,2.0,0.5789465288264259,varA
cardiovascular,1,indication,8638.0,p_A,0.007365955231650182,0.8905902004454342,2,1798,0.0,9.0,-0.22107777875276088,varA
cardiovascular,1,indication,8638.0,p_B,0.01016733535570995,0.7268930957683741,2,1798,0.0,9.0,-0.22107777875276088,varA
cardiovascular,1,indication,8638.0,fuse_rankavg,0.12818471337579618,0.9123051224944321,2,1798,0.0,9.0,-0.22107777875276088,varA
cardiovascular,1,indication,6812.0,p_A,0.0037640782454060467,0.7410913140311803,2,1798,0.0,6.0,-0.08856414173286369,varA
cardiovascular,1,indication,6812.0,p_B,0.003677477537659909,0.7625278396436526,2,1798,0.0,6.0,-0.08856414173286369,varA
cardiovascular,1,indication,6812.0,fuse_rankavg,0.023751202869390253,0.8560690423162584,2,1798,0.0,6.0,-0.08856414173286369,varA
