,contraindication,indication,off-label use
AUPRC,0.23841047597410872,0.14345222004836677,0.18518698910065132
AUROC,0.8200148558830439,0.8360360240038014,0.8313220696701024
Recall@1%,0.24021335785681325,0.2984787071943402,0.16065476190476188
Recall@5%,0.4843358313364079,0.4928932697914476,0.3982142857142857
Recall@10%,0.5541783902128862,0.6562728294545749,0.49136904761904765
Recall@10,0.22835441471815426,0.2294941560286829,0.2694642857142857
Recall@50,0.4636798237892788,0.39615695339400586,0.5043154761904761
Recall@100,0.5351710118998614,0.5405803386901532,0.7186507936507937
MRR@10,0.2973426870748299,0.2164332399626517,0.21357142857142858
MRR@50,0.30538674173389363,0.22424397903044285,0.22529260309827587
MRR@100,0.3066416776037087,0.225728961716632,0.2284167920320576
AP@10,0.2923644573570168,0.20522067623345636,0.20007936507936508
AP@50,0.26529535710115126,0.18046809232571873,0.1941723138021383
AP@100,0.2565582867997062,0.17078622505733848,0.19534529190349872
Enrichment@1%,24.864610813333957,33.72442963706746,15.963360826165706
Enrichment@5%,10.226200486904004,9.911420282398359,7.679293832271045
Enrichment@10%,5.74247272268954,6.661393956965087,4.842434211841349
F1,0.08946244208033056,0.050996077465429356,0.07839181275606837
Accuracy,0.8944689514760774,0.9218244765979685,0.9190993788819874
Sensitivity,0.5900697737086403,0.5848019667353107,0.47837301587301584
Specificity,0.9009570100537575,0.9224752928992155,0.9223226535284355
# of Pos,17.678571428571427,5.617647058823529,3.55
