relation,this run - edge-level AUPRC,paper AUPRC (complex_disease),delta,this run - disease-centric AUPRC,this run - disease-centric AUROC
contraindication,0.7301626437530861,0.8,-0.0698373562469139,0.23841047597410872,0.8200148558830439
indication,0.8621131331570218,0.89,-0.027886866842978253,0.14345222004836677,0.8360360240038014
off-label use,0.8222021502170203,,,0.18518698910065132,0.8313220696701024
