,contraindication,indication,off-label use
AUPRC,0.23674583331870305,0.12352951198874998,0.18795756625334037
AUROC,0.7605061781086643,0.8700705586730647,0.8261983535620022
Recall@1%,0.1865254539775379,0.20253747789250298,0.15854119425547997
Recall@5%,0.332134166609185,0.513460955261494,0.4657501889644747
Recall@10%,0.3944720409320019,0.637455671991155,0.5476190476190477
Recall@10,0.17010799830083131,0.1343703894069847,0.2791950113378685
Recall@50,0.3213256208717653,0.4160126440511538,0.5595238095238095
Recall@100,0.3719372563649406,0.5235435498547114,0.7350340136054422
MRR@10,0.306016156462585,0.12616129785247432,0.19156273620559336
MRR@50,0.3156606921106144,0.13900123517979585,0.2051944356501007
MRR@100,0.31633252326765404,0.14030585405234985,0.20814185723196915
AP@10,0.2804236740992693,0.13477359693877553,0.18625283446712015
AP@50,0.2696321995812912,0.13858335369806732,0.18568722034123022
AP@100,0.2630414000044058,0.132487720778276,0.18699005776926775
Enrichment@1%,26.1833137698077,26.509989303663435,18.619099632426998
Enrichment@5%,6.85532201556166,10.518347733028168,9.39704046055701
Enrichment@10%,4.017279030228785,6.441578289282357,5.3162926974801605
F1,0.1310329352155896,0.07122553888582772,0.08823338870164527
Accuracy,0.895387965162312,0.9148838880360586,0.9031844621906734
Sensitivity,0.43961054125067733,0.625865265312235,0.6193594104308391
Specificity,0.906546856790964,0.916108126982318,0.9053598353028491
# of Pos,27.303571428571427,8.573529411764707,3.357142857142857
