,contraindication,indication,off-label use
AUPRC,0.15822725772470156,0.15391857465952308,0.21145231658926844
AUROC,0.762863398487206,0.880629636741073,0.8509443364344164
Recall@1%,0.14657372115563955,0.27568182968900673,0.15846560846560845
Recall@5%,0.2967203314964794,0.5482658040742758,0.491060405643739
Recall@10%,0.40760414224513947,0.697650629774891,0.6157848324514992
Recall@10,0.13331745766421627,0.199742289743697,0.30347222222222225
Recall@50,0.26000206179996704,0.4166096180872426,0.6157848324514992
Recall@100,0.3711631513505959,0.5880964412733342,0.7346560846560847
MRR@10,0.26405597326649954,0.2096981721981722,0.29336419753086423
MRR@50,0.27186609686609686,0.21815881332495207,0.3056233647701394
MRR@100,0.2726656546831985,0.22057883046200866,0.3069098476998977
AP@10,0.2442937701396348,0.1945984290180719,0.26298280423280423
AP@50,0.2200719058201658,0.18709249320032129,0.22871349452427836
AP@100,0.2074393767500969,0.17209278341400877,0.22127764372623468
Enrichment@1%,16.845058206881287,28.3999629034786,20.878003983594045
Enrichment@5%,5.919682150621206,11.854767317690053,10.187707584173918
Enrichment@10%,4.157820860854339,7.225608266783427,6.245190861096302
F1,0.10438289834308462,0.06688534647825484,0.09924183891984503
Accuracy,0.924810045700157,0.9487742499957936,0.9375431331953072
Sensitivity,0.33492824004873856,0.5330344578022597,0.5120039682539682
Specificity,0.9366906437741465,0.9499353036257849,0.9408170807646984
# of Pos,25.105263157894736,6.045454545454546,3.6666666666666665
