,contraindication,indication,off-label use
AUPRC,0.207949551210394,0.09513068569776813,0.16255171161820728
AUROC,0.7600112208473256,0.8477051503965334,0.7969200204469453
Recall@1%,0.19160407550908296,0.1382732172499047,0.11040249433106576
Recall@5%,0.32701662742986126,0.4111022962199702,0.4098639455782313
Recall@10%,0.4039922203107143,0.6171773855744135,0.5089285714285714
Recall@10,0.16405166693728948,0.08819273163810978,0.23587490551776266
Recall@50,0.3090033326717049,0.3523445380201107,0.5128968253968254
Recall@100,0.36163738035783927,0.45201299270399276,0.6339285714285714
MRR@10,0.2915674603174603,0.09809757236227823,0.17945956160241874
MRR@50,0.30403736908212825,0.11253908201888863,0.18779735731501906
MRR@100,0.30455275816459043,0.11368164116642997,0.1896973512942178
AP@10,0.27609616267141773,0.10196033042846768,0.1726332199546485
AP@50,0.25721268315429097,0.1075766074859531,0.16336927310958588
AP@100,0.24324950538443404,0.10276496900853223,0.16372096364514288
Enrichment@1%,26.853552134163717,20.13385589419573,13.90847692040583
Enrichment@5%,6.652798044854343,8.55554124184886,8.186287069442074
Enrichment@10%,4.1480940918256595,6.231507431190172,4.9151204520755
F1,0.11785521880293397,0.06465189099970586,0.08690235283684482
Accuracy,0.925093315235833,0.934088904856779,0.9211771665187813
Sensitivity,0.3527939375844091,0.4843008716874532,0.43764172335600904
Specificity,0.9405487553863774,0.9364148845646627,0.9243991212302567
# of Pos,27.303571428571427,8.573529411764707,3.357142857142857
