,contraindication,indication,off-label use
AUPRC,0.18722414705801324,0.1192025846156629,0.20022710465120705
AUROC,0.7435890144444092,0.8578118701095495,0.8324706584461368
Recall@1%,0.15231839014191956,0.23558131132979923,0.1242450600149562
Recall@5%,0.3068375345375345,0.5022279277622019,0.40439112982365577
Recall@10%,0.42493514357043766,0.630366052238532,0.555424755943787
Recall@10,0.14698117833411953,0.18916181432814497,0.22861416265395504
Recall@50,0.2827869784869785,0.3762191706143319,0.5586927297999962
Recall@100,0.3807433327668622,0.5290424438912342,0.7392611233441684
MRR@10,0.2589365079365079,0.14494047619047618,0.2331232492997199
MRR@50,0.26584256429844666,0.15446748928597587,0.2486715361290747
MRR@100,0.2677955263092437,0.15644257459441055,0.25083656709531554
AP@10,0.2500920634920635,0.13647786458333333,0.22408039604730784
AP@50,0.22862112449065283,0.13323542396350557,0.21556446582232505
AP@100,0.2197739850506275,0.12858033672401423,0.21057830318900392
Enrichment@1%,20.36153353452402,27.724226506329934,18.8876119861072
Enrichment@5%,6.149962174753642,10.411791823930809,8.814119991389534
Enrichment@10%,4.227366557995403,6.358324814763314,5.878282064011429
F1,0.09849314353634941,0.04120441578832773,0.0933690308327418
Accuracy,0.9564212193190815,0.9665897418101055,0.9498843015467057
Sensitivity,0.2791622282151694,0.3998499903993855,0.35326353769260344
Specificity,0.9679190190355021,0.9687819634537445,0.9548028203393322
# of Pos,18.84,5.578125,4.088235294117647
