split,seed,relation,disease_id,variant,auprc,auroc,n_pos,n_candidates,dd_degree_train,kg_degree,spearman_A_B,tag
cardiovascular,2,indication,6955.0,p_A,0.39496083281797567,0.9936649897521893,9,1798,0.0,4.0,0.6514118105710311,varA
cardiovascular,2,indication,6955.0,p_B,0.013277071157679527,0.7985839388857835,9,1798,0.0,4.0,0.6514118105710311,varA
cardiovascular,2,indication,6955.0,fuse_rankavg,0.05545749550005158,0.9437302030929755,9,1798,0.0,4.0,0.6514118105710311,varA
cardiovascular,2,indication,5009.0,p_A,0.03458469355346388,0.7435503685503686,22,1798,0.0,92.0,-0.004274963972312195,varA
cardiovascular,2,indication,5009.0,p_B,0.015498919651492568,0.6046529484029485,22,1798,0.0,92.0,-0.004274963972312195,varA
cardiovascular,2,indication,5009.0,fuse_rankavg,0.054474489157307786,0.7386363636363635,22,1798,0.0,92.0,-0.004274963972312195,varA
cardiovascular,2,indication,5044.0,p_A,0.038053477039999124,0.24846349915513932,103,1798,0.0,19.0,0.5111830684349786,varA
cardiovascular,2,indication,5044.0,p_B,0.033609554172322656,0.18941489818712953,103,1798,0.0,19.0,0.5111830684349786,varA
cardiovascular,2,indication,5044.0,fuse_rankavg,0.03384260386293522,0.18846979981098033,103,1798,0.0,19.0,0.5111830684349786,varA
cardiovascular,2,indication,2277.0,p_A,0.07616917350592622,0.884661402249342,7,1798,0.0,97.0,0.33643250745436,varA
cardiovascular,2,indication,2277.0,p_B,0.007647136281337305,0.7255324240248864,7,1798,0.0,97.0,0.33643250745436,varA
cardiovascular,2,indication,2277.0,fuse_rankavg,0.03493236569493474,0.8776022972002872,7,1798,0.0,97.0,0.33643250745436,varA
cardiovascular,2,indication,5311.0,p_A,0.010475972071148164,0.7516152189519023,7,1798,0.0,99.0,0.2004359781392699,varA
cardiovascular,2,indication,5311.0,p_B,0.0036536866883910045,0.4137353433835846,7,1798,0.0,99.0,0.2004359781392699,varA
cardiovascular,2,indication,5311.0,fuse_rankavg,0.005457611459739884,0.607800909308447,7,1798,0.0,99.0,0.2004359781392699,varA
cardiovascular,2,indication,5068.0,p_A,0.1120152478283942,0.9266505186013292,9,1798,0.0,83.0,-0.029213193152789,varA
cardiovascular,2,indication,5068.0,p_B,0.004115293666883019,0.36960437239922983,9,1798,0.0,83.0,-0.029213193152789,varA
