split,seed,relation,disease_id,variant,auprc,auroc,n_pos,n_candidates,dd_degree_train,kg_degree,spearman_A_B,tag,fusion_w
cardiovascular,2,indication,831.0,fuse_scalar,0.0019816992245412185,0.4486536675951718,3,1798,0.0,9.0,-0.33395854490979393,varA,0.02
cardiovascular,2,indication,831.0,fuse_mlp,0.013228934872384517,0.5331476323119777,3,1798,0.0,9.0,-0.33395854490979393,varA,0.02
cardiovascular,2,indication,6809.0,p_A,0.00364002690069074,0.6568245125348189,3,1798,0.0,1.0,-0.24506924022189752,varA,0.02
cardiovascular,2,indication,6809.0,p_B,0.0036567763405579443,0.7065923862581245,3,1798,0.0,1.0,-0.24506924022189752,varA,0.02
cardiovascular,2,indication,6809.0,fuse_rankavg,0.01018736888453725,0.7865366759517177,3,1798,0.0,1.0,-0.24506924022189752,varA,0.02
cardiovascular,2,indication,6809.0,fuse_scalar,0.0037090833143464726,0.7101207056638812,3,1798,0.0,1.0,-0.24506924022189752,varA,0.02
cardiovascular,2,indication,6809.0,fuse_mlp,0.006852923811218847,0.7494893221912721,3,1798,0.0,1.0,-0.24506924022189752,varA,0.02
cardiovascular,2,indication,4981.0,p_A,0.02376150172603314,0.8179051889814222,14,1798,0.0,132.0,0.11613670699178386,varA,0.02
cardiovascular,2,indication,4981.0,p_B,0.0069978786755383405,0.40510890454836634,14,1798,0.0,132.0,0.11613670699178386,varA,0.02
cardiovascular,2,indication,4981.0,fuse_rankavg,0.011734312241771351,0.64722133247918,14,1798,0.0,132.0,0.11613670699178386,varA,0.02
cardiovascular,2,indication,4981.0,fuse_scalar,0.007078635269083991,0.4119955156950672,14,1798,0.0,132.0,0.11613670699178386,varA,0.02
cardiovascular,2,indication,4981.0,fuse_mlp,0.010853974894244844,0.6327674567584882,14,1798,0.0,132.0,0.11613670699178386,varA,0.02
cardiovascular,2,indication,6021.0,p_A,0.0022924731773595183,0.3041829336307864,5,1798,0.0,1.0,0.9363308385108617,varA,0.02
cardiovascular,2,indication,6021.0,p_B,0.0023733078349124494,0.3290574456218628,5,1798,0.0,1.0,0.9363308385108617,varA,0.02
cardiovascular,2,indication,6021.0,fuse_rankavg,0.0023324670560934,0.3112102621305075,5,1798,0.0,1.0,0.9363308385108617,varA,0.02
cardiovascular,2,indication,6021.0,fuse_scalar,0.0023739639374849367,0.32883435582822085,5,1798,0.0,1.0,0.9363308385108617,varA,0.02
cardiovascular,2,indication,6021.0,fuse_mlp,0.0023152147047185373,0.3079754601226994,5,1798,0.0,1.0,0.9363308385108617,varA,0.02
cardiovascular,2,indication,6981.0,p_A,0.003869720584789131,0.3360039749083908,9,1798,0.0,51.0,0.20941486114018348,varA,0.02
cardiovascular,2,indication,6981.0,p_B,0.0071445256651242305,0.5089124899074592,9,1798,0.0,51.0,0.20941486114018348,varA,0.02
cardiovascular,2,indication,6981.0,fuse_rankavg,0.0042985141638622795,0.3911558288305074,9,1798,0.0,51.0,0.20941486114018348,varA,0.02
cardiovascular,2,indication,6981.0,fuse_scalar,0.006980386144221263,0.5067387118812496,9,1798,0.0,51.0,0.20941486114018348,varA,0.02
cardiovascular,2,indication,6981.0,fuse_mlp,0.004273514659272023,0.38891994286069187,9,1798,0.0,51.0,0.20941486114018348,varA,0.02
cardiovascular,2,indication,24573.0,p_A,0.022222222222222223,0.9755147468002225,1,1798,0.0,15.0,0.5121456606860716,varA,0.02
cardiovascular,2,indication,24573.0,p_B,0.002717391304347826,0.7957707289927657,1,1798,0.0,15.0,0.5121456606860716,varA,0.02
cardiovascular,2,indication,24573.0,fuse_rankavg,0.010526315789473684,0.9479688369504731,1,1798,0.0,15.0,0.5121456606860716,varA,0.02
cardiovascular,2,indication,24573.0,fuse_scalar,0.002793296089385475,0.8013355592654424,1,1798,0.0,15.0,0.5121456606860716,varA,0.02
cardiovascular,2,indication,24573.0,fuse_mlp,0.015625,0.964941569282137,1,1798,0.0,15.0,0.5121456606860716,varA,0.02
cardiovascular,2,indication,5279.0,p_A,0.025238641172333133,0.622247148999813,15,1798,0.0,11.0,0.09066244391359304,varA,0.02
cardiovascular,2,indication,5279.0,p_B,0.014973785915017626,0.6698822209758833,15,1798,0.0,11.0,0.09066244391359304,varA,0.02
cardiovascular,2,indication,5279.0,fuse_rankavg,0.017921037696202007,0.7025238362310712,15,1798,0.0,11.0,0.09066244391359304,varA,0.02
cardiovascular,2,indication,5279.0,fuse_scalar,0.014948920522676266,0.6725743129556927,15,1798,0.0,11.0,0.09066244391359304,varA,0.02
cardiovascular,2,indication,5279.0,fuse_mlp,0.0266314209005077,0.6920919798093101,15,1798,0.0,11.0,0.09066244391359304,varA,0.02
cardiovascular,2,indication,11057.0,p_A,0.03278543003405784,0.8204697263520794,13,1798,0.0,30.0,-0.16983280030019515,varA,0.02
cardiovascular,2,indication,11057.0,p_B,0.007033504352582471,0.49006679594914887,13,1798,0.0,30.0,-0.16983280030019515,varA,0.02
cardiovascular,2,indication,11057.0,fuse_rankavg,0.01783907378236131,0.7579185520361991,13,1798,0.0,30.0,-0.16983280030019515,varA,0.02
cardiovascular,2,indication,11057.0,fuse_scalar,0.007134186944468948,0.4975220857573799,13,1798,0.0,30.0,-0.16983280030019515,varA,0.02
cardiovascular,2,indication,11057.0,fuse_mlp,0.027524132265690896,0.8031889678948503,13,1798,0.0,30.0,-0.16983280030019515,varA,0.02
cardiovascular,2,indication,2679.0,p_A,0.01779637069518536,0.8509776536312849,8,1798,0.0,10.0,0.2362111789536526,varA,0.02
cardiovascular,2,indication,2679.0,p_B,0.004445662260588216,0.4747905027932961,8,1798,0.0,10.0,0.2362111789536526,varA,0.02
cardiovascular,2,indication,2679.0,fuse_rankavg,0.008975150351922461,0.7208449720670391,8,1798,0.0,10.0,0.2362111789536526,varA,0.02
cardiovascular,2,indication,2679.0,fuse_scalar,0.004523566877996248,0.4836592178770949,8,1798,0.0,10.0,0.2362111789536526,varA,0.02
cardiovascular,2,indication,2679.0,fuse_mlp,0.01706075953789097,0.8275837988826815,8,1798,0.0,10.0,0.2362111789536526,varA,0.02
cardiovascular,2,indication,5294.0,p_A,0.0033409814164571026,0.47250418293363083,5,1798,0.0,9.0,-0.3323047786292373,varA,0.02
cardiovascular,2,indication,5294.0,p_B,0.0027776044126080297,0.4297824874511992,5,1798,0.0,9.0,-0.3323047786292373,varA,0.02
cardiovascular,2,indication,5294.0,fuse_rankavg,0.0031957222807564934,0.4744004461795872,5,1798,0.0,9.0,-0.3323047786292373,varA,0.02
cardiovascular,2,indication,5294.0,fuse_scalar,0.0027843188359820007,0.4310094813162298,5,1798,0.0,9.0,-0.3323047786292373,varA,0.02
