,contraindication,indication,off-label use
AUPRC,0.14092836398326655,0.08313220097571847,0.20628440435898182
AUROC,0.7380465603760195,0.8217277532009925,0.8002414492772284
Recall@1%,0.1294803333920981,0.17969589466313257,0.12487351652576564
Recall@5%,0.2735002580884934,0.40847178555091856,0.4082838633876696
Recall@10%,0.40319412514706626,0.542833868360582,0.5390848866627413
Recall@10,0.11955903900021546,0.1346045226614783,0.2378210505373135
Recall@50,0.25379347794053675,0.2657764622809986,0.5390848866627413
Recall@100,0.33326294260411904,0.4308663206193448,0.7033134109258677
MRR@10,0.21015873015873018,0.10605158730158731,0.25563725490196076
MRR@50,0.21701691729323308,0.11291694186063336,0.2692119125032073
MRR@100,0.2190859657231063,0.11536237073684492,0.2713077166535211
AP@10,0.19948412698412699,0.09818121693121692,0.23075417667066825
AP@50,0.1812411283088093,0.09377745968746651,0.2221991536672867
AP@100,0.17281379880271827,0.09112322182642954,0.2149200540448017
Enrichment@1%,16.556416542148007,23.04650986024202,19.082403220570114
Enrichment@5%,5.349896795211273,8.48106850878131,8.431952697534127
Enrichment@10%,3.974029773207714,5.4721882276061615,5.712937304295281
F1,0.09594089276735238,0.035151309259747465,0.09236751640112013
Accuracy,0.9298812351543941,0.9481798306496392,0.9005602240896359
Sensitivity,0.31940477154006564,0.39960960578400095,0.4946204122674711
Specificity,0.9395800437192809,0.9502775652957762,0.9044729173949877
# of Pos,18.84,5.578125,4.088235294117647
