relation,this run - edge-level AUPRC,paper AUPRC (complex_disease),delta,this run - disease-centric AUPRC,this run - disease-centric AUROC
contraindication,0.7826023057190046,0.8,-0.017397694280995468,0.21894132592709337,0.7485568839191368
indication,0.7933033538378809,0.89,-0.09669664616211915,0.11760968768801987,0.8349347834438051
off-label use,0.7704768738465116,,,0.1345993126650188,0.842057281892677
