split,seed,relation,disease_id,variant,auprc,auroc,n_pos,n_candidates,dd_degree_train,kg_degree,spearman_A_B,tag
cardiovascular,5,indication,6955.0,p_A,0.035425650637047196,0.9290106204583566,9,1798,0.0,4.0,0.5481817780594346,varA
cardiovascular,5,indication,6955.0,p_B,0.019892471534915485,0.8724302838333022,9,1798,0.0,4.0,0.5481817780594346,varA
cardiovascular,5,indication,6955.0,fuse_rankavg,0.06521053637357903,0.9602819700639712,9,1798,0.0,4.0,0.5481817780594346,varA
cardiovascular,5,indication,5009.0,p_A,0.03637433211877546,0.7248157248157249,22,1798,0.0,92.0,-0.08209171208215292,varA
cardiovascular,5,indication,5009.0,p_B,0.014346403509594496,0.5881961506961507,22,1798,0.0,92.0,-0.08209171208215292,varA
cardiovascular,5,indication,5009.0,fuse_rankavg,0.02847423943357769,0.7321867321867321,22,1798,0.0,92.0,-0.08209171208215292,varA
cardiovascular,5,indication,5044.0,p_A,0.04777291154197706,0.4262393676432683,103,1798,0.0,19.0,0.015423601142129205,varA
cardiovascular,5,indication,5044.0,p_B,0.03194575509679931,0.14918807457685368,103,1798,0.0,19.0,0.015423601142129205,varA
cardiovascular,5,indication,5044.0,fuse_rankavg,0.03529682080353369,0.21045908869605062,103,1798,0.0,19.0,0.015423601142129205,varA
cardiovascular,5,indication,2277.0,p_A,0.022770645641288344,0.8722182340272793,7,1798,0.0,97.0,0.08736368336151547,varA
cardiovascular,5,indication,2277.0,p_B,0.005959802996908472,0.6491186089176039,7,1798,0.0,97.0,0.08736368336151547,varA
cardiovascular,5,indication,2277.0,fuse_rankavg,0.021117324241547407,0.8655180665230916,7,1798,0.0,97.0,0.08736368336151547,varA
cardiovascular,5,indication,5311.0,p_A,0.0073238603268289465,0.7165988673526362,7,1798,0.0,99.0,0.09347827213673225,varA
cardiovascular,5,indication,5311.0,p_B,0.0028334493668954112,0.26114700486559783,7,1798,0.0,99.0,0.09347827213673225,varA
cardiovascular,5,indication,5311.0,fuse_rankavg,0.00398341621548753,0.475831538645609,7,1798,0.0,99.0,0.09347827213673225,varA
cardiovascular,5,indication,5068.0,p_A,0.056634646406442724,0.9047264145084155,9,1798,0.0,83.0,-0.166051077582549,varA
