,contraindication,indication,off-label use
AUPRC,0.16404298511134022,0.15993830287272007,0.1924617017161592
AUROC,0.7618205070281708,0.8860992942612642,0.8624754810243139
Recall@1%,0.1259506416794631,0.27448074319380256,0.16299603174603172
Recall@5%,0.34976604026842983,0.5823615461843719,0.4660934744268077
Recall@10%,0.4187601018459612,0.7302301847228669,0.5833774250440917
Recall@10,0.12289270838186302,0.18621335078906145,0.26438492063492064
Recall@50,0.2898508629228878,0.4178075214910284,0.5833774250440917
Recall@100,0.38627254187101595,0.6018343846165405,0.755489417989418
MRR@10,0.29926900584795324,0.21146584896584897,0.2347222222222222
MRR@50,0.3051972451379748,0.22183484145622695,0.24949065384353494
MRR@100,0.3057873297332958,0.22397965439222584,0.2516278278698606
AP@10,0.27047985373486627,0.1958869376875329,0.233980930335097
AP@50,0.24231015913238266,0.19286777029632385,0.20688442053441186
AP@100,0.2188346457776443,0.1773507772384897,0.19939405314910447
Enrichment@1%,14.364802429704007,28.41523866944694,21.335562298295216
Enrichment@5%,6.970520789038923,12.542419359262055,9.6480783912048
Enrichment@10%,4.2602271131623946,7.560581523589632,5.9460585988767924
F1,0.08980396189700564,0.08174839393628733,0.11423969494003448
Accuracy,0.9486602491978164,0.961780492319082,0.954221302047389
Sensitivity,0.2802790549595074,0.5115983779331654,0.4971891534391535
Specificity,0.9630124055203361,0.9632010211248994,0.9577657522726655
# of Pos,25.105263157894736,6.045454545454546,3.6666666666666665
